iter	TotalF1	MultiClass
0	0.487234465	1.095784576
1	0.5533724053	1.092569988
2	0.6075485723	1.088797997
3	0.5905323062	1.086469045
4	0.6402565955	1.082487581
5	0.603281631	1.08054208
6	0.6327724974	1.077282169
7	0.658110276	1.073641164
8	0.6793456114	1.070670974
9	0.6654037397	1.067601626
10	0.698023745	1.063941204
11	0.7017145109	1.060356032
12	0.7050050123	1.058037801
13	0.7186265294	1.05422146
14	0.738780952	1.051628026
15	0.7271386123	1.049042901
16	0.7178685596	1.046031764
17	0.7209412497	1.04344964
18	0.7237271929	1.040044599
19	0.7174840824	1.036946979
20	0.7238524579	1.034113858
21	0.7333893717	1.031704836
22	0.721652695	1.028863614
23	0.7191191974	1.026243328
24	0.7401269117	1.02294936
25	0.7403622644	1.019938249
26	0.7439579188	1.017500147
27	0.7405695733	1.015039357
28	0.7549611618	1.012045804
29	0.7585140243	1.009250686
30	0.7526494398	1.007525212
31	0.7587275854	1.004636611
32	0.7558237622	1.001941513
33	0.7615585557	0.9994277636
34	0.7520761591	0.9973199541
35	0.7585291284	0.9942924464
36	0.7743340374	0.9926820624
37	0.7685115101	0.9901623715
38	0.7740679102	0.9884682223
39	0.7651882156	0.9853625771
40	0.7742981189	0.9833740801
41	0.7805091341	0.9813748621
42	0.7745180382	0.9794847986
43	0.7743660598	0.9773866031
44	0.7595228862	0.9751024066
45	0.7563453848	0.9723499876
46	0.76242157	0.970398261
47	0.7651719831	0.9680493497
48	0.7682334808	0.9659387199
49	0.7682718846	0.9636788105
50	0.7830219795	0.96175432
51	0.7802660236	0.9598118242
52	0.7715336134	0.9578665458
53	0.7807693351	0.9558775241
54	0.7804676968	0.9535738706
55	0.7716522522	0.9510033145
56	0.7742968432	0.9488781792
57	0.7803460287	0.9463800703
58	0.7836621991	0.9439294052
59	0.7836621991	0.941697424
60	0.7776692398	0.9399994668
61	0.7746007027	0.938160194
62	0.7776102127	0.9360532372
63	0.7836965295	0.9338202879
64	0.7838607197	0.9320758859
65	0.7717434526	0.9298535038
66	0.7778632846	0.9283869275
67	0.7748807314	0.9269653864
68	0.7778477831	0.925214647
69	0.7747138647	0.9238130018
70	0.7777055901	0.9226036671
71	0.7836245807	0.920709024
72	0.7776457776	0.9187713938
73	0.7746348995	0.9174535104
74	0.7804947805	0.9154666776
75	0.7804460865	0.9134815554
76	0.777454062	0.9113013462
77	0.7773473231	0.9092486986
78	0.780281349	0.9068336264
79	0.7829970406	0.9042684293
80	0.7862913699	0.9019196008
81	0.7893031929	0.8996810788
82	0.7922136687	0.8979072336
83	0.7893031929	0.8970306956
84	0.7920216164	0.8955788484
85	0.7951283498	0.8932874427
86	0.7982936158	0.8922137111
87	0.7921677048	0.8904979793
88	0.7955144125	0.8883527375
89	0.7953459818	0.8868277909
90	0.7982605072	0.8855792889
91	0.7921347029	0.8845464107
92	0.7950566627	0.8832465701
93	0.7984324451	0.8805835194
94	0.8041076562	0.878869358
95	0.8041016966	0.8771953972
96	0.807198968	0.8760744201
97	0.8103086645	0.8738129445
98	0.8072175533	0.8724871451
99	0.8101466603	0.8707531254
100	0.8103086645	0.8695454199
101	0.8074056445	0.8680325379
102	0.8104517316	0.8666816008
103	0.8166583509	0.8649854188
104	0.8195525063	0.864004303
105	0.81971215	0.8625557014
106	0.8195855961	0.8609388164
107	0.825402171	0.8593680802
108	0.8253217283	0.8576869127
109	0.825558755	0.8561633473
110	0.8253210067	0.8546776322
111	0.8286186314	0.852291231
112	0.8286186314	0.8513477035
113	0.8255615612	0.849627889
114	0.8314916318	0.8478046148
115	0.834561194	0.8462411342
116	0.8284768285	0.844656225
117	0.8344560609	0.8430282178
118	0.8282613961	0.8421763737
119	0.8315435831	0.8411006865
120	0.8315435831	0.8390409602
121	0.834561194	0.8376324518
122	0.8314916318	0.8359633025
123	0.8283840255	0.8336480528
124	0.8345465861	0.8318008181
125	0.834461169	0.8307128485
126	0.8346882962	0.8294683511
127	0.8377274192	0.8279069522
128	0.8377255698	0.826723053
129	0.8345004345	0.8254028024
130	0.8376216387	0.8239767365
131	0.8376062263	0.8225534241
132	0.8377482529	0.8211999101
133	0.8377441858	0.8195936702
134	0.8377441858	0.817869139
135	0.8375427637	0.8158443191
136	0.8375427637	0.8143158009
137	0.8405593549	0.8124435277
138	0.8375253748	0.8106833922
139	0.8438523504	0.8094422107
140	0.8468953941	0.8082032451
