iter	Passed	Remaining
0	2	1307
1	4	1489
2	7	1439
3	9	1391
4	11	1369
5	13	1325
6	15	1292
7	17	1267
8	19	1260
9	21	1284
10	23	1280
11	25	1267
12	27	1251
13	29	1239
14	31	1226
15	33	1214
16	35	1222
17	37	1223
18	39	1217
19	40	1179
20	42	1172
21	44	1168
22	46	1162
23	48	1156
24	50	1151
25	52	1153
26	54	1150
27	56	1146
28	58	1143
29	59	1137
30	61	1133
31	63	1130
32	65	1131
33	68	1137
34	71	1152
35	73	1149
36	75	1146
37	77	1146
38	79	1141
39	81	1137
40	83	1141
41	85	1140
42	87	1135
43	89	1134
44	91	1130
45	93	1127
46	95	1126
47	97	1124
48	100	1130
49	102	1129
50	104	1126
51	106	1125
52	109	1125
53	111	1123
54	112	1119
55	115	1118
56	117	1118
57	119	1117
58	121	1117
59	123	1113
60	125	1112
61	127	1109
62	130	1110
63	133	1114
64	135	1113
65	137	1111
66	139	1108
67	141	1105
68	143	1102
69	145	1098
70	147	1098
71	149	1097
72	151	1094
73	153	1091
74	155	1090
75	157	1086
76	159	1083
77	161	1080
78	164	1083
79	166	1081
80	168	1080
81	170	1078
82	172	1075
83	174	1071
84	176	1067
85	178	1064
86	180	1066
87	181	1058
88	184	1058
89	186	1055
90	188	1053
91	190	1050
92	192	1047
93	194	1045
94	196	1045
95	198	1042
96	201	1046
97	204	1049
98	206	1046
99	208	1044
100	211	1043
101	213	1042
102	215	1040
103	216	1032
104	218	1028
105	220	1026
106	222	1023
107	223	1020
108	226	1018
109	228	1020
110	230	1017
111	232	1014
112	234	1012
113	236	1009
114	238	1005
115	240	1002
116	242	999
117	243	996
118	245	993
119	247	990
120	249	987
121	251	983
122	252	980
123	254	977
124	256	974
125	258	972
126	260	971
127	262	969
128	264	965
129	266	963
130	268	960
131	270	957
132	271	954
133	276	960
134	278	958
135	280	956
136	282	953
137	283	950
138	285	947
139	287	944
140	289	941
141	291	940
142	293	937
143	295	935
144	297	932
145	298	929
146	300	926
147	302	924
148	304	921
149	306	919
150	308	917
151	310	914
152	312	911
153	313	909
154	315	906
155	317	903
156	319	901
157	321	898
158	323	897
159	325	895
160	327	892
161	329	890
162	330	887
163	332	884
164	334	882
165	336	880
166	339	879
167	341	877
168	343	874
169	344	872
170	346	869
171	348	867
172	350	865
173	352	862
174	354	861
175	356	859
176	358	857
177	360	855
178	362	853
179	364	851
180	367	849
181	369	847
182	371	846
183	373	844
184	376	843
185	378	841
186	380	840
187	382	838
188	384	835
189	387	836
190	389	834
191	391	832
192	393	830
193	395	828
194	397	826
195	399	823
196	402	823
197	404	821
198	406	819
199	408	817
200	410	815
201	412	813
202	414	810
203	416	808
204	419	807
205	421	805
206	423	803
207	424	800
208	427	798
209	428	796
210	430	794
211	432	791
212	435	790
213	436	788
214	438	785
215	441	784
216	443	782
217	444	779
218	447	778
219	449	775
220	451	774
221	453	771
222	455	770
223	457	767
224	459	765
225	461	763
226	463	760
227	465	758
228	467	757
229	469	755
230	471	752
231	473	750
232	475	748
233	477	746
234	478	743
235	481	742
236	483	740
237	485	738
238	487	735
239	489	733
240	491	731
241	492	729
242	494	726
243	496	724
244	498	722
245	501	721
246	503	719
247	505	716
248	506	714
249	508	712
250	510	709
251	512	708
252	514	706
253	517	705
254	519	703
255	521	700
256	523	699
257	526	697
258	528	696
259	531	694
260	533	692
261	535	691
262	537	689
263	540	687
264	542	685
265	544	684
266	547	682
267	549	680
268	551	678
269	554	677
270	556	676
271	558	673
272	561	672
273	564	671
274	566	669
275	568	666
276	570	664
277	572	662
278	574	660
279	577	660
280	579	658
281	581	656
282	583	654
283	586	652
284	587	649
285	589	647
286	591	645
287	594	644
288	596	642
289	598	640
290	601	638
291	604	637
292	606	635
293	608	633
294	610	631
295	612	629
296	614	626
297	616	624
298	617	622
299	619	619
300	621	617
301	623	615
302	625	613
303	627	611
304	629	608
305	631	606
306	633	604
307	635	602
308	636	599
309	638	597
310	640	595
311	642	593
312	644	591
313	646	588
314	648	586
315	650	584
316	651	581
317	653	579
318	655	577
319	657	575
320	659	573
321	661	571
322	663	568
323	665	566
324	667	564
325	668	562
326	670	560
327	673	558
328	675	556
329	677	553
330	679	551
331	680	549
332	682	547
333	685	545
334	687	543
335	689	542
336	692	540
337	695	539
338	698	537
339	700	535
340	702	533
341	705	532
342	707	530
343	710	528
344	712	526
345	714	524
346	716	522
347	718	520
348	721	518
349	724	517
350	726	515
351	728	513
352	730	510
353	732	508
354	733	506
355	736	504
356	738	502
357	740	500
358	742	498
359	744	496
360	746	494
361	748	491
362	749	489
363	752	487
364	754	485
365	756	483
366	758	481
367	760	479
368	762	477
369	764	474
370	765	472
371	768	470
372	770	469
373	772	467
374	774	464
375	776	462
376	778	460
377	780	458
378	782	456
379	784	454
380	787	452
381	788	450
382	790	448
383	792	445
384	794	443
385	796	441
386	798	439
387	800	437
388	802	435
389	804	433
390	806	431
391	808	428
392	810	426
393	811	424
394	813	422
395	816	420
396	818	418
397	820	416
398	822	414
399	824	412
400	826	410
401	828	407
402	829	405
403	832	403
404	834	401
405	836	399
406	838	397
407	839	395
408	841	393
409	843	390
410	845	388
411	848	386
412	850	385
413	852	382
414	854	380
415	856	378
416	858	376
417	860	374
418	861	372
419	864	370
420	866	368
421	868	366
422	870	364
423	871	361
424	873	359
425	875	357
426	877	355
427	879	353
428	881	351
429	883	349
430	885	347
431	887	344
432	889	342
433	891	340
434	892	338
435	894	336
436	896	334
437	898	332
438	900	330
439	902	328
440	904	326
441	906	323
442	908	321
443	909	319
444	911	317
445	913	315
446	915	313
447	917	311
448	919	309
449	920	306
450	922	304
451	924	302
452	926	300
453	928	298
454	930	296
455	932	294
456	934	292
457	936	290
458	937	288
459	939	285
460	941	283
461	943	281
462	945	279
463	947	277
464	949	275
465	951	273
466	953	271
467	955	269
468	956	267
469	958	265
470	960	263
471	962	261
472	964	259
473	966	256
474	968	254
475	970	252
476	971	250
477	973	248
478	976	246
479	978	244
480	979	242
481	981	240
482	983	238
483	985	236
484	987	234
485	989	232
486	991	230
487	993	228
488	995	225
489	997	223
490	999	221
491	1001	219
492	1003	217
493	1005	215
494	1008	214
495	1011	212
496	1013	209
497	1014	207
498	1016	205
499	1018	203
500	1020	201
501	1022	199
502	1024	197
503	1026	195
504	1029	193
505	1031	191
506	1033	189
507	1035	187
508	1036	185
509	1039	183
510	1041	181
511	1043	179
512	1045	177
513	1048	175
514	1050	173
515	1053	171
516	1056	169
517	1058	167
518	1060	165
519	1062	163
520	1064	161
521	1065	159
522	1068	157
523	1070	155
524	1072	153
525	1073	151
526	1075	148
527	1077	146
528	1079	144
529	1080	142
530	1082	140
531	1084	138
532	1086	136
533	1088	134
534	1089	132
535	1091	130
536	1093	128
537	1095	126
538	1096	124
539	1098	122
540	1100	120
541	1102	118
542	1104	115
543	1106	113
544	1108	111
545	1110	109
546	1112	107
547	1114	105
548	1116	103
549	1118	101
550	1120	99
551	1121	97
552	1123	95
553	1125	93
554	1127	91
555	1129	89
556	1131	87
557	1133	85
558	1135	83
559	1137	81
560	1139	79
561	1140	77
562	1142	75
563	1144	73
564	1146	71
565	1148	68
566	1150	66
567	1152	64
568	1154	62
569	1155	60
570	1157	58
571	1159	56
572	1161	54
573	1163	52
574	1165	50
575	1167	48
576	1169	46
577	1170	44
578	1172	42
579	1174	40
580	1176	38
581	1178	36
582	1180	34
583	1182	32
584	1184	30
585	1186	28
586	1188	26
587	1190	24
588	1192	22
589	1193	20
590	1195	18
591	1197	16
592	1199	14
593	1201	12
594	1203	10
595	1204	8
596	1206	6
597	1208	4
598	1210	2
599	1212	0
